experiment_id,method,intervention,washout_batches,panel_id,metric,n_seeds,mean,seed_sd_descriptive,individual_seeds,scope
stage_a_uci_v1,sar_complete,factorial:E,0,uci_internal_fixed,disagreement_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,0,uci_internal_fixed,absolute_error_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,0,uci_internal_fixed,nll_gap_factorial,3,-5.1154820309707665e-05,9.291692740805228e-05,"{""17"": -0.00015840807553680055, ""29"": 4.94361460767756e-06, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,0,uci_internal_fixed,brier_gap_factorial,3,-1.3231951373542569e-05,2.3820824926277335e-05,"{""17"": -4.073137259270887e-05, ""29"": 1.035518472081165e-06, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,4,uci_internal_fixed,disagreement_factorial,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,4,uci_internal_fixed,absolute_error_gap_factorial,3,-0.0003255208333333333,0.000563818622255494,"{""17"": -0.0009765625, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,4,uci_internal_fixed,nll_gap_factorial,3,2.920671777545e-05,5.058751910940445e-05,"{""17"": 8.762015332635e-05, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:E,4,uci_internal_fixed,brier_gap_factorial,3,4.947722413421267e-06,8.569706601792938e-06,"{""17"": 1.48431672402638e-05, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,0,uci_internal_fixed,disagreement_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,0,uci_internal_fixed,absolute_error_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,0,uci_internal_fixed,nll_gap_factorial,3,-9.529789708808781e-09,1.6506079961103828e-08,"{""17"": -2.8589369126426345e-08, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,0,uci_internal_fixed,brier_gap_factorial,3,-5.728783386329169e-09,9.922543890678605e-09,"{""17"": -1.7186350158987507e-08, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,4,uci_internal_fixed,disagreement_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,4,uci_internal_fixed,absolute_error_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,4,uci_internal_fixed,nll_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:O,4,uci_internal_fixed,brier_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,0,uci_internal_fixed,disagreement_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,0,uci_internal_fixed,absolute_error_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,0,uci_internal_fixed,nll_gap_factorial,3,1.9059579417617562e-08,3.3012159922207656e-08,"{""17"": 5.717873825285269e-08, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,0,uci_internal_fixed,brier_gap_factorial,3,1.1457566772658337e-08,1.984508778135721e-08,"{""17"": 3.4372700317975013e-08, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,4,uci_internal_fixed,disagreement_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,4,uci_internal_fixed,absolute_error_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,sar_complete,factorial:OE,4,uci_internal_fixed,nll_gap_factorial,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
