experiment_id,method,intervention,washout_batches,panel_id,metric,n_seeds,mean,seed_sd_descriptive,individual_seeds,scope
stage_a_uci_v1,norm,all,0,uci_internal_fixed,disagreement,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,accuracy_ab,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,accuracy_ba,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,signed_error_gap,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,absolute_error_gap,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,nll_gap,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,brier_gap,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,0,uci_internal_fixed,first_batch_max_logit_diff,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,4,uci_internal_fixed,disagreement,3,0.0,0.0,"{""17"": 0.0, ""29"": 0.0, ""43"": 0.0}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,4,uci_internal_fixed,accuracy_ab,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
stage_a_uci_v1,norm,all,4,uci_internal_fixed,accuracy_ba,3,0.861328125,0.01824369305885684,"{""17"": 0.8583984375, ""29"": 0.8447265625, ""43"": 0.880859375}",same-panel seed variability; no CI or independence claim
